iter	Passed	Remaining
0	136	136145
1	137	68363
2	137	45745
3	138	34499
4	140	27894
5	141	23494
6	143	20311
7	144	17923
8	145	16056
9	146	14536
10	147	13266
11	148	12219
12	149	11332
13	149	10558
14	150	9895
15	151	9298
16	151	8780
17	152	8324
18	153	7915
19	154	7546
20	154	7218
21	155	6912
22	156	6632
23	156	6376
24	157	6137
25	157	5917
26	158	5717
27	159	5526
28	159	5355
29	160	5202
30	161	5047
31	162	4903
32	162	4768
33	163	4640
34	163	4518
35	164	4404
36	165	4298
37	165	4196
38	166	4101
39	167	4011
40	167	3923
41	168	3837
42	168	3755
43	169	3680
44	170	3607
45	170	3538
46	171	3470
47	171	3407
48	172	3348
49	173	3293
50	174	3239
51	174	3184
52	175	3132
53	175	3082
54	176	3033
55	177	2986
56	177	2940
57	178	2898
58	179	2857
59	179	2818
60	180	2779
61	181	2741
62	181	2704
63	182	2669
64	183	2636
65	183	2602
66	184	2569
67	184	2534
68	185	2504
69	186	2475
70	186	2446
71	187	2418
72	188	2389
73	188	2361
74	189	2334
75	189	2308
76	190	2283
77	191	2258
78	191	2236
79	192	2216
80	193	2194
81	194	2172
82	194	2151
83	195	2132
84	196	2110
85	196	2090
86	197	2068
87	197	2051
88	198	2034
89	199	2016
90	200	1998
91	200	1980
92	201	1963
93	201	1946
94	202	1928
95	203	1912
96	203	1896
97	204	1881
98	205	1867
99	205	1852
100	206	1838
101	206	1821
102	207	1807
103	208	1792
104	208	1778
105	209	1764
106	209	1752
107	210	1740
108	211	1727
109	212	1715
110	212	1702
111	213	1690
112	213	1679
113	214	1667
114	215	1655
115	215	1643
116	216	1631
117	216	1620
118	217	1609
119	218	1599
120	218	1589
121	219	1580
122	220	1568
123	220	1559
124	221	1549
125	221	1539
126	222	1530
127	223	1519
128	223	1510
129	224	1502
130	225	1492
131	225	1483
132	226	1474
133	226	1466
134	227	1457
135	228	1449
136	228	1441
137	229	1431
138	229	1423
139	230	1416
140	231	1409
141	231	1401
142	232	1394
143	233	1386
144	233	1379
145	234	1371
146	235	1364
